"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"40462","42705589740113239878701913896619363875702","4060741400007923323","UnderConsideration","Unspecified","","1715677032791000","1715951893171000"
"40463","726250963463172354456842677409125856","4060741400007923325","UnderConsideration","B1+","4060741400010084400","1577445032719000","1715951958790000"
"40464","54665728376507885732465517327755767039","4060741400007923377","UnderConsideration","Unspecified","","1714421813450000","1715952194449000"
"40465","338109464937217794251093229037774383337","7770000000000115522","Proposed","Unspecified","","1684445999220000","1715952276916000"
"40466","5663405051429251547541951577669754366761","4060741400007923380","UnderConsideration","Unspecified","","1714720780877000","1715952353246000"
"40467","04349685258428696957890914453683840561","4060741400335399351","Available","Unspecified","","1715953091659000","1715953091832000"
"40468","57268251095843601706744677407199176","4060741400007923323","UnderConsideration","A1+","1011","1558595907801000","1715953289349000"
"40469","69844807605575231330614549562977892827118767","4060741400007923366","UnderConsideration","B1","108","1592828103587000","1715953409954000"
"40470","1768759048020428254062763993830936297","4060741400007923322","UnderConsideration","B2","1013","1691070799055000","1715953785702000"
"40471","961434991217137548392463260327900550","4060741400037637413","UnderConsideration","Unspecified","","1715672713787000","1715953855919000"
"40472","94226509642196273158803448757259495974985308","7770000000000115522","Available","Unspecified","1013","1668779429835000","1715953873472000"
"40473","482949530455974085678896049276585724255838","4060741400335399351","UnderConsideration","Unspecified","4060741400010084399","1649143149694000","1715954025688000"
"40474","030239874567969728224279118934588139495","4060741400007923390","UnderConsideration","Unspecified","108","1603222016038000","1715954337276000"
"40475","84636511663752395725556854638109408881660","4060741400412060820","Proposed","Native","1013","1708099570772000","1715955133466000"
"40476","63194093007202256249906058598222008312161427","4060741400335399351","Available","Unspecified","","1715955612203000","1715955612292000"
"40477","99028911226656349174279787314842401887","4060741400007923316","UnderConsideration","Unspecified","1011","1617733987978000","1715955800664000"
"40478","8631084020061599792366440132242916608568326","4060741400335399351","UnderConsideration","Unspecified","","1715678805247000","1715956045454000"
"40479","6218474830031281811515194707057946430342","4060741400359009925","UnderConsideration","Unspecified","4060741400007382359","1710869090654000","1715956369881000"
"40480","68275859567730256476751649402024356280345523","7770000000000115524","Available","Unspecified","","1675851549988000","1715956568938000"
"40481","99714765169513814748707782887680415481303333","7770000000000131092","Available","B1+","1011","1559567334676000","1715956679066000"
"40482","0702195495525584090325257301708498413465111","4060741400007923323","UnderConsideration","B1+","1011","1621001835970000","1715957400943000"
"40483","4184117127468601777632995916094812470125308","4060741400007923323","Available","Unspecified","","1715957471297000","1715957471401000"
"40484","6686679482130136377683850770046363777","7770000000000169925","Available","Unspecified","","1702590190146000","1715958892349000"
"40485","961434991217137548392463260327900550","4060741400037637413","Proposed","Unspecified","","1715672713787000","1715958916227000"
"40486","34772322345383855977378625068857128324317191","4060741400007923316","UnderConsideration","B2","1013","1679053526805000","1715958916866000"
"40487","25971648878620282347834811043552239057459","7770000000000286122","Available","Unspecified","1013","1715958927374000","1715958927504000"
"40488","49012311692525985546130725643217868069249508144","4060741400007923322","UnderConsideration","Unspecified","","1715361731862000","1715959075371000"
"40489","84157490362796929517033250123015","7770000000000148669","Proposed","Unspecified","4060741400010084400","1699447084369000","1715959108660000"
"40490","360601917700592974139095011629877665483","4060741400007923316","Available","Unspecified","","1715959281329000","1715959281467000"
"40491","0949544155392946633744374194304896","4060741400335399351","UnderConsideration","Unspecified","","1714720931392000","1715959502307000"
"40492","5356000310824187414798994657096339375","4060741400007923316","Available","Native","1013","1710945611302000","1715959623347000"
"40493","1305060089442961488867522740429346816","4060741400412060820","UnderConsideration","Unspecified","1013","1713861381929000","1715960352951000"
"40494","501363278742724851239553214701386","4060741400009046535","UnderConsideration","Unspecified","4000741400001402409","1629469916705000","1715961794417000"
